
# Surface 0 of 1 surfaces

# Curve title: "'contourTest.dat' using 1:2:3"
# Contour 0, label:        3
-2.11413 -1.47031  3 
-2.11777 -1.48621  3 
-2.12142 -1.50211  3 
-2.12508 -1.51801  3 
-2.12876 -1.5339  3 
-2.13246 -1.54979  3 
-2.13617 -1.56567  3 
-2.13988 -1.58156  3 
-2.14359 -1.59744  3 
-2.14729 -1.61333  3 
-2.151 -1.62921  3 
-2.15469 -1.6451  3 
-2.15839 -1.66099  3 
-2.16208 -1.67688  3 
-2.16576 -1.69277  3 
-2.16945 -1.70866  3 
-2.17314 -1.72455  3 
-2.17682 -1.74044  3 
-2.18051 -1.75633  3 
-2.18421 -1.77222  3 
-2.18792 -1.7881  3 
-2.19163 -1.80399  3 
-2.19535 -1.81987  3 
-2.19903 -1.83576  3 
-2.20264 -1.85167  3 
-2.20619 -1.86759  3 
-2.20971 -1.88352  3 
-2.21321 -1.89945  3 
-2.21673 -1.91538  3 
-2.22026 -1.93131  3 
-2.22379 -1.94723  3 
-2.22734 -1.96315  3 
-2.23089 -1.97907  3 
-2.23444 -1.99499  3 
-2.23799 -2.01091  3 
-2.24153 -2.02684  3 
-2.24508 -2.04276  3 
-2.24861 -2.05868  3 
-2.25215 -2.07461  3 
-2.25568 -2.09053  3 
-2.25921 -2.10646  3 
-2.26273 -2.12239  3 
-2.26626 -2.13831  3 
-2.26979 -2.15424  3 
-2.27333 -2.17016  3 
-2.27688 -2.18608  3 
-2.28045 -2.202  3 
-2.28403 -2.21791  3 
-2.28762 -2.23383  3 
-2.29118 -2.24975  3 
-2.29471 -2.26567  3 
-2.2982 -2.28161  3 
-2.30161 -2.29756  3 
-2.305 -2.31352  3 
-2.30839 -2.32947  3 
-2.31179 -2.34543  3 
-2.31518 -2.36138  3 
-2.31858 -2.37734  3 
-2.32198 -2.39329  3 
-2.32537 -2.40924  3 
-2.32877 -2.4252  3 
-2.33216 -2.44116  3 
-2.33556 -2.45711  3 
-2.33895 -2.47307  3 
-2.34234 -2.48902  3 
-2.34574 -2.50498  3 
-2.34914 -2.52093  3 
-2.35253 -2.53688  3 
-2.35593 -2.55284  3 
-2.35933 -2.56879  3 
-2.36272 -2.58475  3 
-2.36611 -2.60071  3 
-2.36949 -2.61666  3 
-2.37288 -2.63262  3 
-2.37627 -2.64858  3 
-2.37966 -2.66453  3 
-2.38306 -2.68049  3 
-2.38647 -2.69644  3 
-2.38989 -2.71239  3 
-2.39331 -2.72834  3 
-2.39671 -2.74429  3 
-2.40005 -2.76026  3 
-2.40334 -2.77624  3 
-2.40659 -2.79222  3 
-2.40983 -2.80821  3 
-2.41308 -2.82419  3 
-2.41634 -2.84018  3 
-2.4196 -2.85616  3 
-2.42287 -2.87214  3 
-2.42614 -2.88812  3 
-2.42941 -2.9041  3 
-2.43268 -2.92008  3 
-2.43594 -2.93607  3 
-2.4392 -2.95205  3 
-2.44247 -2.96803  3 
-2.44572 -2.98402  3 
-2.44898 -3  3 

-1.70967  0.0760906  3 
-1.71415  0.0604053  3 
-1.71864  0.0447211  3 
-1.72312  0.0290376  3 
-1.72761  0.0133546  3 
-1.73209 -0.00232837  3 
-1.73658 -0.0180115  3 
-1.74107 -0.0336949  3 
-1.74555 -0.0493789  3 
-1.75003 -0.0650636  3 
-1.75451 -0.0807491  3 
-1.75898 -0.0964356  3 
-1.76345 -0.112123  3 
-1.76792 -0.127811  3 
-1.77239 -0.143499  3 
-1.77687 -0.159185  3 
