
# Surface 0 of 1 surfaces

# Curve title: "'potentialGrid.dat' using 1:2:3"
# Contour 0, label:       -4
 7.76721 -7.87875 -4 
 7.76713 -7.88887 -4 
 7.76673 -7.89897 -4 
 7.76593 -7.90904 -4 
 7.76489 -7.91911 -4 
 7.76383 -7.92918 -4 
 7.76296 -7.93927 -4 
 7.76251 -7.94939 -4 
 7.76262 -7.95956 -4 
 7.76304 -7.96974 -4 
 7.76341 -7.97989 -4 
 7.76335 -7.98999 -4 
 7.7625 -7.99999 -4 

 7.72343 -6.89353 -4 
 7.72583 -6.90343 -4 
 7.72817 -6.91334 -4 
 7.73026 -6.92327 -4 
 7.73194 -6.93325 -4 
 7.73302 -6.9433 -4 
 7.73335 -6.95344 -4 
 7.73299 -6.96365 -4 
 7.73241 -6.97386 -4 
 7.73208 -6.98402 -4 
 7.73251 -6.99405 -4 
 7.73416 -7.00388 -4 
 7.73708 -7.01352 -4 
 7.74074 -7.02305 -4 
 7.74455 -7.03256 -4 
 7.74794 -7.04213 -4 
 7.75036 -7.05187 -4 
 7.75148 -7.06181 -4 
 7.75161 -7.0719 -4 
 7.75113 -7.0821 -4 
 7.75044 -7.09233 -4 
 7.7499 -7.10254 -4 
 7.74974 -7.11269 -4 
 7.74983 -7.1228 -4 
 7.75 -7.1329 -4 
 7.75008 -7.143 -4 
 7.74991 -7.15314 -4 
 7.74949 -7.16331 -4 
 7.74907 -7.17349 -4 
 7.74893 -7.18363 -4 
 7.74933 -7.1937 -4 
 7.75057 -7.20366 -4 
 7.75265 -7.21351 -4 
 7.75528 -7.22329 -4 
 7.75812 -7.23306 -4 
 7.76082 -7.24286 -4 
 7.76305 -7.25274 -4 
 7.76463 -7.26273 -4 
 7.76565 -7.2728 -4 
 7.76625 -7.28293 -4 
 7.76656 -7.29308 -4 
 7.7667 -7.30323 -4 
 7.76677 -7.31337 -4 
 7.76678 -7.32349 -4 
 7.76675 -7.3336 -4 
 7.7667 -7.34371 -4 
 7.76665 -7.35383 -4 
 7.76661 -7.36395 -4 
 7.76658 -7.37407 -4 
 7.76659 -7.38419 -4 
 7.76663 -7.39431 -4 
 7.76671 -7.40443 -4 
 7.76681 -7.41454 -4 
 7.7669 -7.42466 -4 
 7.7669 -7.43478 -4 
 7.76679 -7.44491 -4 
 7.7665 -7.45505 -4 
 7.76612 -7.4652 -4 
 7.76582 -7.47534 -4 
 7.76581 -7.48546 -4 
 7.76626 -7.49555 -4 
 7.76737 -7.50558 -4 
 7.76905 -7.51557 -4 
 7.771 -7.52553 -4 
 7.77291 -7.53549 -4 
 7.77448 -7.54548 -4 
 7.77542 -7.55551 -4 
 7.77571 -7.56559 -4 
 7.77558 -7.57571 -4 
 7.77527 -7.58585 -4 
 7.77503 -7.59602 -4 
 7.77506 -7.60618 -4 
 7.77534 -7.61634 -4 
 7.77563 -7.62648 -4 
 7.77569 -7.63659 -4 
 7.77528 -7.64666 -4 
 7.77419 -7.65668 -4 
 7.77252 -7.66666 -4 
 7.77057 -7.67662 -4 
 7.76865 -7.68659 -4 
 7.76707 -7.69658 -4 
 7.76611 -7.70663 -4 
 7.76577 -7.71672 -4 
 7.76586 -7.72685 -4 
 7.76619 -7.73699 -4 
 7.76658 -7.74715 -4 
 7.76683 -7.75729 -4 
 7.76693 -7.76741 -4 
 7.76691 -7.77753 -4 
 7.76682 -7.78765 -4 
 7.76669 -7.79776 -4 
 7.76658 -7.80787 -4 
 7.7665 -7.81799 -4 
 7.76647 -7.82811 -4 
 7.76651 -7.83823 -4 
 7.76664 -7.84836 -4 
 7.76685 -7.85849 -4 
 7.76708 -7.86862 -4 
 7.76721 -7.87875 -4 

 7.51067 -5.93205 -4 
 7.51387 -5.94165 -4 
 7.51708 -5.95125 -4 
 7.5203 -5.96084 -4 
 7.52352 -5.97044 -4 
 7.52673 -5.98004 -4 
 7.52992 -5.98964 -4 
 7.53309 -5.99925 -4 
 7.53623 -6.00887 -4 
 7.53936 -6.01849 -4 
 7.54251 -6.0281 -4 
 7.54573 -6.0377 -4 
 7.54904 -6.04727 -4 
 7.55245 -6.05682 -4 
 7.55592 -6.06635 -4 
 7.55931 -6.07591 -4 
 7.5625 -6.08551 -4 
 7.56539 -6.09519 -4 
 7.56786 -6.10497 -4 
 7.56989 -6.11486 -4 
 7.57159 -6.12484 -4 
 7.57304 -6.13487 -4 
 7.57436 -6.14494 -4 
 7.57564 -6.15502 -4 
 7.57697 -6.16509 -4 
 7.57844 -6.17512 -4 
 7.58014 -6.18509 -4 
 7.58215 -6.19499 -4 
 7.58457 -6.20478 -4 
 7.58739 -6.21448 -4 
 7.59053 -6.22409 -4 
 7.59391 -6.23365 -4 
 7.59743 -6.24317 -4 
 7.60101 -6.25268 -4 
 7.60457 -6.26219 -4 
 7.60802 -6.27173 -4 
 7.61127 -6.28132 -4 
 7.61424 -6.29098 -4 
 7.61685 -6.30073 -4 
 7.61903 -6.31058 -4 
 7.62086 -6.32052 -4 
 7.62242 -6.33053 -4 
 7.6238 -6.34058 -4 
 7.62508 -6.35066 -4 
 7.62637 -6.36074 -4 
 7.62775 -6.3708 -4 
 7.62933 -6.38081 -4 
 7.6312 -6.39073 -4 
 7.63348 -6.40056 -4 
 7.6362 -6.41026 -4 
 7.63929 -6.41988 -4 
 7.64262 -6.42944 -4 
 7.64606 -6.43899 -4 
 7.64949 -6.44856 -4 
 7.65279 -6.45818 -4 
 7.65584 -6.46788 -4 
 7.65851 -6.47767 -4 
 7.66068 -6.48756 -4 
 7.66223 -6.49755 -4 
 7.66308 -6.50766 -4 
 7.66348 -6.51784 -4 
 7.66385 -6.52801 -4 
 7.66462 -6.5381 -4 
 7.66621 -6.54803 -4 
 7.66896 -6.55775 -4 
 7.67257 -6.5673 -4 
 7.67644 -6.57678 -4 
 7.68 -6.58631 -4 
 7.68265 -6.59599 -4 
 7.68385 -6.6059 -4 
 7.68375 -6.61603 -4 
 7.68308 -6.62626 -4 
 7.68254 -6.63647 -4 
 7.68288 -6.64654 -4 
 7.68474 -6.65637 -4 
 7.68798 -6.66596 -4 
 7.69188 -6.67545 -4 
 7.69575 -6.68494 -4 
 7.69886 -6.69456 -4 
 7.70052 -6.70441 -4 
 7.7007 -6.7145 -4 
 7.70009 -6.72471 -4 
 7.69943 -6.73494 -4 
 7.69948 -6.74506 -4 
 7.70095 -6.75494 -4 
 7.70388 -6.76459 -4 
 7.70762 -6.77411 -4 
 7.71153 -6.7836 -4 
 7.71493 -6.79316 -4 
 7.71717 -6.80291 -4 
 7.718 -6.81287 -4 
 7.71786 -6.82299 -4 
 7.71727 -6.83321 -4 
 7.71673 -6.84343 -4 
 7.71678 -6.8536 -4 
 7.71763 -6.86368 -4 
 7.71915 -6.87368 -4 
 7.72114 -6.88362 -4 
 7.72343 -6.89353 -4 

 7.13976 -5.01804 -4 
 7.14243 -5.0279 -4 
 7.14525 -5.03769 -4 
 7.14872 -5.04716 -4 
 7.15327 -5.0561 -4 
 7.15881 -5.06456 -4 
 7.16491 -5.07274 -4 
 7.17113 -5.08086 -4 
 7.17705 -5.08914 -4 
 7.18222 -5.09777 -4 
 7.18627 -5.10696 -4 
 7.18941 -5.11659 -4 
 7.19211 -5.12643 -4 
 7.19488 -5.13625 -4 
 7.19818 -5.1458 -4 
 7.20249 -5.15486 -4 
 7.20782 -5.16342 -4 
 7.21379 -5.17168 -4 
 7.21998 -5.17982 -4 
 7.226 -5.18804 -4 
 7.23144 -5.19654 -4 
 7.23593 -5.20549 -4 
 7.23949 -5.2149 -4 
 7.24248 -5.22459 -4 
 7.24523 -5.23442 -4 
 7.24808 -5.2442 -4 
 7.25139 -5.25379 -4 
 7.2553 -5.26312 -4 
 7.25968 -5.27223 -4 
 7.26441 -5.28119 -4 
 7.26935 -5.29006 -4 
 7.27437 -5.2989 -4 
 7.27936 -5.30775 -4 
 7.28422 -5.31666 -4 
 7.2889 -5.32565 -4 
 7.29335 -5.33474 -4 
 7.2975 -5.34395 -4 
 7.30129 -5.35331 -4 
 7.30474 -5.36281 -4 
 7.30793 -5.37242 -4 
 7.31099 -5.38208 -4 
 7.31402 -5.39175 -4 
 7.31712 -5.40138 -4 
 7.32036 -5.41096 -4 
 7.32367 -5.4205 -4 
 7.32697 -5.43006 -4 
 7.33016 -5.43967 -4 
 7.33315 -5.44938 -4 
 7.33591 -5.4592 -4 
 7.33861 -5.46904 -4 
 7.34149 -5.4788 -4 
 7.3448 -5.48835 -4 
 7.34878 -5.49757 -4 
 7.35362 -5.50636 -4 
 7.3592 -5.5148 -4 
 7.36519 -5.52304 -4 
 7.37126 -5.53124 -4 
