#x    y    fieldX  fieldY
-14.3   -1.1    0.346   0.0265  
-14.3   -1.05   0.346   0.0253  
-14.3   -1      0.347   0.0242  
-14.3   -0.95   0.347   0.023   
-14.3   -0.9    0.347   0.0218  
-14.3   -0.85   0.347   0.0206  
-14.3   -0.8    0.348   0.0194  
-14.3   -0.75   0.348   0.0182  
-14.3   -0.7    0.348   0.017   
-14.3   0.7     0.348   -0.017  
-14.3   0.75    0.348   -0.0182 
-14.3   0.8     0.348   -0.0194 
-14.3   0.85    0.347   -0.0206 
-14.3   0.9     0.347   -0.0218 
-14.3   0.95    0.347   -0.023  
-14.3   1       0.347   -0.0242 
-14.3   1.05    0.346   -0.0253 
-14.3   1.1     0.346   -0.0265 
-14.3   -1.65   0.345   0.0398  
-14.3   -1.6    0.345   0.0386  
-14.3   -1.55   0.346   0.0375  
-14.3   -1.5    0.346   0.0363  
-14.3   -1.45   0.346   0.0351  
-14.3   -1.4    0.347   0.0339  
-14.3   1.4     0.347   -0.0339 
-14.3   1.45    0.346   -0.0351 
-14.3   1.5     0.346   -0.0363 
-14.3   1.55    0.346   -0.0375 
-14.3   1.6     0.345   -0.0386 
-14.3   1.65    0.345   -0.0398 
-14.2   -2      0.344   0.0483  
-14.2   -1.95   0.344   0.0471  
-14.2   -1.9    0.345   0.046   
-14.2   -1.85   0.345   0.0448  
-14.2   1.85    0.345   -0.0448 
-14.2   1.9     0.345   -0.046  
-14.2   1.95    0.344   -0.0471 
-14.2   2       0.344   -0.0483 
-14.2   -2.35   0.342   0.0567  
-14.2   -2.3    0.343   0.0556  
-14.2   -2.25   0.344   0.0544  
-14.2   -2.2    0.344   0.0533  
-14.2   2.2     0.344   -0.0533 
-14.2   2.25    0.344   -0.0544 
-14.2   2.3     0.343   -0.0556 
-14.2   2.35    0.342   -0.0567 
-14.1   -2.6    0.342   0.0628  
-14.1   -2.55   0.342   0.0617  
-14.1   -2.5    0.343   0.0606  
-14.1   2.5     0.343   -0.0606 
-14.1   2.55    0.342   -0.0617 
-14.1   2.6     0.342   -0.0628 
